3.710000000000000000e+02,3.200000000000000000e+02,3.920000000000000000e+02
3.680000000000000000e+02,3.850000000000000000e+02,3.680000000000000000e+02
3.930000000000000000e+02,3.750000000000000000e+02,3.790000000000000000e+02
3.380000000000000000e+02,3.660000000000000000e+02,3.220000000000000000e+02
3.090000000000000000e+02,3.430000000000000000e+02,3.020000000000000000e+02
3.600000000000000000e+02,3.770000000000000000e+02,3.660000000000000000e+02
3.630000000000000000e+02,3.000000000000000000e+02,3.990000000000000000e+02
3.350000000000000000e+02,3.600000000000000000e+02,3.570000000000000000e+02
3.850000000000000000e+02,3.510000000000000000e+02,3.670000000000000000e+02
3.120000000000000000e+02,3.470000000000000000e+02,3.260000000000000000e+02
