4.650000000000000000e+02,3.940000000000000000e+02,4.690000000000000000e+02
4.600000000000000000e+02,3.360000000000000000e+02,4.800000000000000000e+02
4.300000000000000000e+02,4.620000000000000000e+02,4.120000000000000000e+02
3.460000000000000000e+02,3.850000000000000000e+02,3.870000000000000000e+02
4.370000000000000000e+02,3.360000000000000000e+02,3.040000000000000000e+02
4.080000000000000000e+02,4.800000000000000000e+02,4.600000000000000000e+02
3.150000000000000000e+02,4.580000000000000000e+02,3.020000000000000000e+02
3.870000000000000000e+02,4.160000000000000000e+02,4.460000000000000000e+02
3.070000000000000000e+02,4.120000000000000000e+02,3.410000000000000000e+02
4.770000000000000000e+02,4.080000000000000000e+02,4.590000000000000000e+02
