8.000000000000000000e+00,3.800000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01
4.500000000000000000e+01,4.600000000000000000e+01
1.600000000000000000e+01,5.700000000000000000e+01
1.300000000000000000e+01,8.300000000000000000e+01
1.800000000000000000e+01,4.500000000000000000e+01
9.400000000000000000e+01,1.000000000000000000e+01
7.400000000000000000e+01,3.700000000000000000e+01
4.200000000000000000e+01,9.000000000000000000e+00
4.000000000000000000e+01,4.200000000000000000e+01
