2.780000000000000000e+02,2.850000000000000000e+02,2.590000000000000000e+02,2.260000000000000000e+02
2.150000000000000000e+02,2.080000000000000000e+02,2.850000000000000000e+02,2.850000000000000000e+02
2.920000000000000000e+02,2.700000000000000000e+02,2.940000000000000000e+02,2.060000000000000000e+02
2.980000000000000000e+02,2.170000000000000000e+02,2.040000000000000000e+02,2.940000000000000000e+02
2.240000000000000000e+02,2.520000000000000000e+02,2.260000000000000000e+02,2.610000000000000000e+02
2.120000000000000000e+02,2.100000000000000000e+02,2.610000000000000000e+02,2.450000000000000000e+02
2.500000000000000000e+02,2.690000000000000000e+02,2.410000000000000000e+02,2.450000000000000000e+02
2.650000000000000000e+02,2.150000000000000000e+02,2.850000000000000000e+02,2.280000000000000000e+02
2.590000000000000000e+02,2.800000000000000000e+02,2.320000000000000000e+02,2.250000000000000000e+02
2.150000000000000000e+02,2.290000000000000000e+02,2.600000000000000000e+02,2.830000000000000000e+02
